repository,language,community,continuous_integration,documentation,history,management,license,unit_test,pull,dependency,releases,size,weight-based score,Engineered Project
h2oai/sparkling-water,Scala,2,0,0.232802176,48.58571429,3.4,1,0,0,0.625,1,90804,45,project
glassechidna/zxing-cpp,C++,9,1,0.23468258,1.274509804,1.039215686,1,0.094276867,0.868852459,0,0,56684,50,project
opnsense/core,PHP,2,0,0.20108477,172.5857143,2.628571429,1,0.018548971,0.989381636,0,0,420974,50,project
lumapps/lumRest,Python,6,0,0.123200921,4.228571429,0.228571429,1,0,1,0,0,3046,60,project
angular/angular.io,HTML,27,1,0.082729861,86.6969697,5.393939394,1,0,0,0.219380888,0,163652,65,project
scorelab/ANDROPHSY,HTML,3,0,0.16461313,1.214285714,0.107142857,1,0,0.666666667,0,0,1924454,20,project
robskillington/node-clusto,JavaScript,3,0,0,3.833333333,0,1,0,1,0.125,1,402,35,project
jarektkaczyk/eloquence,PHP,1,1,0.183237469,1.953125,3.375,1,1,0.984848485,0.545454545,1,3976,40,project
u39kun/ambari-grafana,JavaScript,2,0,0.102446483,1.875,0.0625,1,0,0.9375,0,0,1174,20,project
apache/incubator-singa,C++,17,1,0.277109247,31.60655738,0.754098361,1,0.590528931,0.976833977,0.333333333,0,149942,80,project
cartalyst/stripe,PHP,1,1,0.442245989,9.02739726,1.863013699,1,0.090106906,1,0.75,0,12516,60,project
redox-os/redox,Makefile,2,0,0.28723695,49.75,13.35416667,1,0,1,0.333333333,0,5216,50,project
cscenter/hpcourse,Java,68,0,0.174041264,26.5,0,1,0.008835321,0.958419958,0,0,574712,65,project
apache/incubator-taverna-databundle-viewer,Ruby,2,0,0.257458794,2.189655172,0.051724138,1,0.207327227,1,0.333333333,0,7118,40,project
remibergsma/uniqueXenServer,Shell,3,0,0.27027027,0.230769231,0,1,0,1,0,0,108,15,project
minio/mc,Go,6,0,0.176710362,57.53731343,14.73134328,1,0,0,0.2,1,71096,65,project
apache/cloudstack-www,HTML,13,0,0.000389123,3.838709677,0,1,0,1,0.150684932,0,3889288,55,project
svenkreiss/pysparkling,Python,2,1,0.379839162,11.71428571,0.317460317,1,0.101792468,0.959537572,0.2,0,13264,60,project
ppoffice/hexo-theme-minos,JavaScript,6,0,0.044579859,1.793650794,1.349206349,1,0,0.981481481,0.5,0,5958,40,project
rsdevigo/jungle,JavaScript,3,1,0.115512549,3.842105263,1.473684211,1,0,1,0.093023256,0,5850,50,project
adafruit/Adafruit_SleepyDog,C++,7,0,0.339487179,0.903225806,0.258064516,1,0,0.863636364,0,1,1288,40,project
stevekinney/pizza,Ruby,49,0,0.053982301,5.389830508,0.305084746,1,0,0.971223022,0,0,2138,50,project
sdimkov/hubot-skype-web,CoffeeScript,1,0,0.145174177,10.57142857,2.571428571,1,0,0.882352941,1,0,21398,50,project
sopel-irc/sopel,Python,10,1,0.279766806,36.93023256,8.069767442,1,0.350268355,0.992457574,0.45,1,43734,80,project
datacharmer/mysql-replication-samples,Shell,1,0,0.09626556,4.55,0,1,0,1,0,0,4356,35,project
dokku/dokku-mysql,Shell,2,0,0.075567503,7.392857143,0.928571429,1,0,0.967213115,1,0,6190,50,project
owainlewis/swagger-gen,Clojure,2,1,0.028109029,21.125,0.25,1,0,1,0,0,2282,30,project
DispatchMe/meteor-deep-link,JavaScript,3,0,0.210280374,0.789473684,0.263157895,1,0,0.857142857,0,0,1014,20,project
sdkman/sdkman-cli,Gherkin,1,1,0.091825711,13.46875,6.229166667,1,0,0.958860759,0.933333333,0,10088,50,project
MobilizeNet/UWPConversionMappings,C#,2,0,0.035320469,7.5,0.5,1,0,1,0,0,11198,30,project
cloudera/kudu-examples,NULL,7,0,0,1.88372093,0.302325581,1,0,1,0,0,24,30,project
cloudant/python-cloudant,Python,5,1,0.372164646,10.93150685,3.246575342,1,1.358122498,0.997849462,0,1,25686,70,project
dmlc/web-data,Jupyter Notebook,37,0,0.038914364,10.36206897,0.103448276,1,0,0.997979798,0,0,304322,50,project
eleme/corvus,C,3,1,0.123345936,12.37931034,1.655172414,1,0.25165261,0.97382199,0.25,1,29680,60,project
RedHatProductSecurity/Diffie-Hellman-Primes,NULL,8,0,0.061452514,146.6666667,0.666666667,1,0,1,0,0,336,50,project
vulcand/vulcand,Go,7,1,0.123909746,9.25,2.460526316,1,0,1,0.666666667,1,36964,70,project
up-for-grabs/up-for-grabs.net,JavaScript,248,0,0.006680795,44.50617284,1.913580247,1,0,0,0,0,55310,45,project
ThaDafinser/UserAgentParser,PHP,2,1,0.195465758,18.83333333,2.555555556,1,0.041752225,0.984962406,0.588235294,0,27396,60,project
confluentinc/kafka-connect-jdbc,Java,20,0,0.170263894,29.578125,8.46875,1,0.477482395,0.915824916,0,0,37982,70,project
plus3it/cfn,PowerShell,3,1,0.012956193,13.62903226,0.064516129,1,0,1,0.03908046,0,30778,40,project
jenkins-infra/jenkins.io,HTML,26,0,0.033186067,179.8813559,3.237288136,1,0,0,0.308832247,0,340508,55,project
apache/reef,Java,15,1,0.362446765,40.76842105,0.063157895,1,0.164532422,0.857142857,0,1,395816,70,project
lamby/travis.debian.net,Shell,1,1,0.065747614,3.618181818,0.781818182,1,0,1,0,0,1762,30,project
jenkins-infra/jenkins.io,HTML,26,0,0.033186067,179.8813559,3.237288136,1,0,0,0.308832247,0,340508,55,project
jfloff/pywFM,Python,1,0,0.291139241,1.564102564,0.564102564,1,0,1,0,0,784,20,project
apache/whimsy,Ruby,3,1,0.120767203,66.83673469,0.214285714,1,0.038121198,0.979591837,0.411764706,0,122762,60,project
appium/appium-xcuitest-driver,JavaScript,8,1,0.15183143,27.47457627,2.050847458,1,0,0.99563795,0.622222222,1,34456,70,project
MindFlavor/AzureSDKForRust,Rust,4,1,0.022508704,14.58928571,2.464285714,1,0,0.994252874,0,1,103878,30,project
apache/incubator-s2graph,Scala,4,1,0.261171607,38.20454545,4.545454545,1,0,0.940559441,0.571428571,1,77212,50,project
openhab/openhab2-addons,Java,67,1,0.21977466,70.44,6.84,1,0.072507904,0,0,1,1659480,65,project
tensorflow/models,Python,119,0,0.296114441,103.1785714,15.67857143,1,0.122943648,0,0.066666667,1,470204,75,project
lagom/lagom,Scala,12,1,0.169839355,52.58490566,19.52830189,1,0,0,0.947368421,1,148622,65,project
dcos/dcos,Python,49,0,0.153790693,150.8076923,0.153846154,1,0.014273601,0,0.138513514,1,107978,75,project
linkedin/ambry,Java,12,1,0.285645393,33.73809524,2.845238095,1,0.428836168,0,0.3,1,337734,75,project
raywenderlich/swift-algorithm-club,Swift,70,0,0.108956485,45.94545455,3.436363636,1,0.162370493,0.995594714,0,0,84364,70,project
apache/incubator-milagro-mfa-server,C++,6,0,0.124378576,0.861111111,0.166666667,1,0,0.9,0,0,37340,40,project
mesosphere/dcos-commons,Java,19,0,0.152033475,60.54,0.52,1,0.442977637,0,0.139479905,0,281686,75,project
cayleygraph/cayley,Go,5,1,0.087603667,24.20833333,6.458333333,1,0,0.992899408,0.090909091,1,83612,70,project
se-edu/addressbook-level2,Java,7,1,0.203128303,6.485714286,2.314285714,1,0.376481313,0.995959596,0,0,7540,70,project
akka/akka-http,Scala,19,1,0.188480926,27.19565217,3.695652174,1,0,0,0.75,0,192864,65,project
gfredericks/quinedb,Shell,3,1,0.022801303,1.6,0.4,1,0,0.866666667,0,0,600,10,project
awslabs/emr-dynamodb-connector,Java,23,0,0.18180414,1.404255319,1.510638298,1,0.337300345,0.972972973,0,0,21188,50,project
urbanladder/airbrake,Java,2,0,0.126658625,0,0,1,0.3125,1,0,0,1448,25,project
MicrosoftEdge/webauthn-polyfill,JavaScript,4,0,0.058461538,2.545454545,0,1,0,1,0,0,1224,5,project
egoist/vue-mugen-scroll,JavaScript,1,0,0.016746411,1.78125,0.65625,1,0,0.703703704,1,0,822,20,project
danielfrg/s3contents,Python,6,0,0.108063631,1.956521739,1.282608696,1,0.184628237,0.97752809,0.5,1,3252,60,project
dcos/examples,Shell,26,0,0.001405317,26.24242424,3.818181818,1,0,0.982490272,0,0,51162,50,project
sebastianbaar/cordova-plugin-nativegeocoder,Java,4,0,0.084624553,1.243902439,1.341463415,1,0,1,1,0,1536,30,project
apache/accumulo-examples,Java,4,0,0.168914579,1.363636364,0.409090909,1,0.242006886,1,0,0,18116,30,project
apache/beam,Java,87,0,0.166641557,424.0147059,1.926470588,1,0.4365888,0,0.010141862,1,2677194,75,project
adaltas/node-nikita,CoffeeScript,1,1,0.119125759,23.01,1.21,1,0,0.878787879,0.252293578,0,151380,50,project
JuliaPlots/Plots.jl,Julia,6,0,0.081672628,69.71666667,9.016666667,1,0,0.978367748,1,1,43132,70,project
michaelgruber/fluent-plugin-ecs-metadata-filter,Ruby,3,1,0.010235415,0.714285714,0.071428571,1,0.42143906,1,0,0,1934,20,project
yahoo/TensorFlowOnSpark,Python,4,1,0.188002758,13.85714286,8.047619048,1,0.10755814,1,0,0,14132,50,project
spark-notebook/spark-notebook,JavaScript,4,1,0.163493141,32.73239437,7.197183099,1,0,0.998927039,0.130434783,0,406718,50,project
swagger-api/swagger-codegen,HTML,84,1,0.198789726,101.2636364,0,1,0,0,0,1,1408752,50,project
ignotus-peverell/nash,JavaScript,4,1,0.139830508,75,23,1,0,0.979591837,0,0,6496,40,project
grails/grails-gsp,Groovy,16,1,0.183936574,5.384615385,0.186813187,1,0,0.980392157,0.4,1,71022,70,project
Azure/mmlspark,Scala,5,0,0.176862423,19.02564103,9.205128205,1,0,0.976237624,0,1,82052,60,project
apache/mynewt-newt,Go,7,1,0.209269663,25.29508197,0.770491803,1,0,0.986861314,0.25,0,56300,70,project
opentracing-contrib/java-spring-cloud,Java,8,1,0.227771363,6.810810811,3.351351351,1,0.58633345,0.99044586,0,0,16050,70,project
joeirimpan/zammad_py,Python,2,1,0.081309398,4.277777778,0.833333333,1,0.287640449,0.961538462,0.041666667,0,6960,60,project
studygolang/GCTT,Shell,59,1,6.04E-05,115.7575758,19.60606061,1,0,0,0,0,198724,45,project
ganglia/ganglia-web,PHP,6,1,0.217322479,14.30188679,1.103773585,1,0.007573751,0.970917226,0,0,76142,70,project
musescore/MuseScore,C++,8,1,0.041471109,193.2323232,0.252525253,1,0.163558697,0,0.013426886,1,10751878,65,project
mrdoob/three.js,JavaScript,27,0,0.061537444,279.336,3.472,1,0,0,0.31440281,1,965220,55,project
boundary/ordasity,Scala,5,0,0.177128821,5.526315789,0.131578947,1,0,0.86440678,0,1,6030,60,project
mezzoblue/PaintbrushJS,JavaScript,2,0,0.183309214,5.272727273,0.545454545,1,0,0.6,0,0,3386,40,project
python-zk/kazoo,Python,5,1,0.211610228,16.05154639,3.092783505,1,0.287384419,0.996363636,0.8,1,22816,80,project
beetbox/beets,Python,37,1,0.175304898,65.44217687,3.176870748,1,0.430996567,0,0,0,124016,65,project
jejacks0n/mercury,JavaScript,3,1,0.119241753,9.326315789,3.778947368,1,0,0.941422594,0.5,1,85120,50,project
qtile/qtile,Python,28,1,0.249296039,24.7739726,5.828767123,1,0.206103936,0.960714286,0.454545455,1,55986,80,project
mochi/mochiweb,Erlang,8,1,0.138796314,4.149659864,0.741496599,1,0,0.989949749,0.666666667,0,26358,70,project
flexiondotorg/oab-java6,Shell,2,0,0.079861111,5.434782609,4.217391304,1,0,0.931034483,0,1,1590,40,project
matplotlib/matplotlib,Python,25,1,0.139004979,174.9423077,0,0,0.01864757,0,0.635036496,1,1137216,70,project
brianmario/yajl-ruby,C,2,1,0.098744292,6.133333333,1.025,1,0.439568095,0.824074074,0,1,25264,50,project
akka/akka,Scala,24,1,0.199197879,183.326087,6.094202899,1,0,0,0.666666667,1,1179258,65,project
olton/Metro-UI-CSS,CSS,1,1,0.006433267,26.21,0.25,1,0,1,0.552631579,0,466106,40,project
mifos/head,Java,36,0,0.122651235,79.49673203,2.307189542,1,0.346696013,0.98811545,0.072164948,0,1308964,80,project
gephi/gephi,Java,2,1,0.269459295,35.03787879,3.848484848,1,0.041702163,0.926553672,0,1,323856,50,project
hyde/hyde,Python,6,1,0.219572488,9.523809524,3,1,0.088230983,0.928571429,1,1,32202,80,project
sheyll/erlymock,Erlang,2,0,0.276899541,1.2,0.02,1,0,1,0,1,2836,20,project
boundary/folsom,Erlang,3,1,0.239078634,7.291666667,0.520833333,1,0,0.992647059,0,1,7664,40,project
mozilla/mozillians,Python,10,1,0.036570226,50.25217391,0.808695652,1,0.739728485,0,0.002339181,1,162968,55,project
phpmyadmin/phpmyadmin,PHP,55,1,0.37840243,514.7456897,2.137931034,1,0.358339176,0,0.675925926,0,2236564,75,project
sbt/sbt-release,Scala,6,1,0.034714446,3.970588235,1.5,1,0,0.921052632,0.75,0,3448,60,project
Supervisor/supervisor,Python,3,1,0.108470882,13.30177515,5.585798817,1,0.594802421,0.957142857,0.1875,1,67084,60,project
thoughtbot/capybara-webkit,Ruby,26,1,0.013131044,7.222222222,6.75,1,0.716100986,0.987951807,0.8,1,22246,70,project
requirejs/text,JavaScript,3,0,0.126353791,0.975903614,1.168674699,1,0,0.953846154,0,1,968,20,project
jeffharrell/minicart,JavaScript,1,1,0.145821955,4.72,4.026666667,1,0,0.904761905,0.875,0,9384,50,project
openmrs/openmrs-core,Java,17,1,0.244061602,65.34883721,1.034883721,1,0.425376375,0,0.846153846,0,472398,75,project
doctrine/dbal,PHP,24,1,0.235681786,51.91860465,2.38372093,1,0.498844807,0,0.411764706,1,120614,75,project
ulfurinn/wongi-engine,Ruby,1,1,0.024426827,3,0.615384615,1,0.357415302,1,0.8,0,9106,30,project
scalastyle/scalastyle,Scala,4,1,0.201944945,7.06741573,2.404494382,1,0,0.955284553,0.333333333,1,20352,50,project
selectel/tempo,Erlang,4,1,0.13302217,1.647058824,0.176470588,1,0,1,1,1,1486,30,project
xianyi/OpenBLAS,Fortran,8,1,0,42.51304348,1.339130435,1,0,0,0.736842105,0,0,55,project
Emergya/peer,Python,6,0,0.151655383,14.98591549,1.309859155,1,0.00846375,1,0,0,59396,70,project
burnash/gspread,Python,5,1,0.052663481,7.504761905,5.542857143,1,0.354903537,0.976315789,0.243732591,0,53138,70,project
Pitmairen/hamlish-jinja,Python,3,0,0.477967306,1.095890411,0.178082192,1,0.5,0.944444444,0,1,2938,30,project
dtmilano/AndroidViewClient,Python,1,0,0.090714665,9.891089109,1.900990099,1,0.359760992,1,0.384615385,0,116494,60,project
emka/openstreetbugs,JavaScript,1,0,0.192631157,2.074626866,0.671641791,1,0,0.461538462,0,0,4032,15,project
AsyncHttpClient/async-http-client,Java,4,1,0.21101993,32.648,0.384,1,0.429839712,0.987542469,0,0,68646,50,project
EchoTeam/ocaml-erlang-port,OCaml,3,0,0.082167832,1.024390244,0.048780488,1,0,0.9375,0,0,2100,20,project
c4milo/node-inotify,C++,1,1,0.069337442,1.65,0.458333333,1,0,1,0.5,1,1208,30,project
trsvax/tapestry-bootstrap,HTML,1,0,0.069243593,2.046511628,0.279069767,1,0,0.739130435,0,1,48014,20,project
moovweb/gvm,Shell,4,1,0.11151852,6.37755102,2.408163265,1,0,0.965517241,0,1,62032,40,project
apache/accumulo,Java,8,0,0.188181915,99.00934579,4.738317757,1,0.230654336,0.971731449,0,1,809092,70,project
nitrogen/nitrogen,Erlang,3,1,0.117761153,7.589147287,0.511627907,1,0,0.976470588,0.666666667,0,6368,50,project
huertanix/davidhuertadotme,PHP,2,0,0.038149351,0.641509434,0.075471698,1,0,1,0,0,2370,10,project
rapid7/le_java,Java,6,1,0.262423714,2.989795918,0.479591837,1,0.237882177,0.938271605,1,0,3384,60,project
OISF/suricata,C,8,1,0.158783175,86.08208955,0.313432836,1,0.15159144,0,0.602739726,1,840702,75,project
apache/commons-fileupload,Java,11,1,0.420183107,4.601809955,0.180995475,1,0.347857271,0.884615385,0.25,1,16846,80,project
mdeanda/ajaxproxy,Java,1,0,0.109799668,5.164948454,0.257731959,1,0.045908184,0.666666667,0,0,27906,50,project
runarorama/scala-machines,Scala,4,1,0.161982249,2.102040816,0.183673469,1,0,0.967741935,0,0,2266,20,project
lemenkov/eradius,Erlang,4,0,0.152663372,2.018018018,0.09009009,1,0,1,0,1,3086,20,project
retnuh/mochiweb_xpath,Erlang,3,0,0.214930271,1.037037037,0.074074074,1,0,1,0,1,1914,20,project
FuseByExample/HelloCamel,Java,4,0,0.250814332,0.396825397,0,1,0.575757576,1,0,0,460,25,project
imwilsonxu/fbone,Python,2,0,0.115727003,1.087719298,0.543859649,0,0.091286307,0.55,0,0,2980,30,project
klout/brickhouse,Java,8,1,0.19038203,3.957446809,2.340425532,1,0.097343358,0.855670103,0,0,20472,70,project
unconed/MathBox.js,JavaScript,1,0,0.138792294,4.676470588,0.882352941,1,0,0.761904762,0,0,141164,40,project
jorgenschaefer/elpy,Emacs Lisp,5,1,0.12760475,14.29032258,3.322580645,1,0,0.973174367,0.387096774,0,31148,70,project
yonik/noggit,Java,2,0,0.198988697,0.819672131,0.147540984,1,0.250577367,0.913043478,0,1,5386,30,project
apache/cordova-js,JavaScript,19,0,0.124629418,19.7029703,0.069306931,1,0,0.993464052,0.01082837,0,15354,70,project
cedadev/ndg_oauth,Python,3,0,0.259443941,2.048780488,0,1,0,1,0,0,9802,15,project
researchgate/gradle-release,Groovy,6,1,0.093893832,5.452830189,2.537735849,1,0,0.983471074,0,1,5906,60,project
chipchilders/cloudstack_ruby_client,Ruby,6,0,0.031274743,2.472222222,0.277777778,1,0.61263849,0.95,1,0,4894,50,project
calavera/trinidad_logging_extension,Ruby,1,0,0.202247191,0.846153846,0.153846154,1,0,1,0,1,426,20,project
jkutianski/meetup-api,JavaScript,1,0,0.069715142,5.166666667,0.2,1,0,1,0.394444444,1,4964,50,project
Codiad/Codiad,PHP,9,1,0.165318723,18.55555556,8.144444444,1,0,0.987142857,0.142857143,0,38392,70,project
openMF/mifosx,Java,7,0,0.172754239,52.2345679,0.37037037,1,0.08829144,0,0,1,563902,65,project
scalanlp/chalk,Scala,1,0,0.140341145,2.102040816,0.408163265,1,0,0.9375,0,1,12398,20,project
logstash/log4j-jsonevent-layout,Java,2,1,0.066972477,4,1.904761905,1,0.585331453,0.688888889,0,1,2034,40,project
navinpeiris/pnotify-rails,Ruby,4,0,0.141122914,0.472222222,0.083333333,1,0,0.785714286,0,0,4528,20,project
kongchen/swagger-maven-plugin,Java,22,1,0.025715854,10.73255814,6.290697674,1,0.221072319,0.940677966,0,0,67438,60,project
openfl/openfl,Haxe,4,0,0.405362553,64.86516854,1.966292135,1,0,0.97650311,0.082901554,0,252778,50,project
kovidgoyal/calibre,Python,2,0,0.099032537,248.8253012,0.006024096,1,0.019808192,0,0.527131783,0,1286268,55,project
sksamuel/elastic4s,Scala,7,1,0.052507937,47.98876404,11.16853933,1,0,0,0.072815534,0,89538,55,project
DefinitelyTyped/DefinitelyTyped,TypeScript,3746,1,0.514514205,748.8315789,0,1,0,0,0,0,5217544,50,project
less/less.js,JavaScript,12,1,0.068497434,23.36,1.152,1,0,0.99922899,0.002442002,0,143008,60,project
apache/cordova-plugin-geolocation,JavaScript,27,1,0.09807516,3.629213483,0.898876404,1,0,0.947674419,0.00727802,0,7872,70,project
apache/cordova-plugin-network-information,Objective-C,27,1,0.123527801,3.310344828,0.448275862,1,0,1,0.008733624,0,6400,70,project
apache/cordova-plugin-device-motion,JavaScript,19,1,0.121599112,3.011235955,0.02247191,1,0,1,0.01300578,0,6328,50,project
DrewEaster/realtime-search,Scala,1,0,0.079422383,3.833333333,0.333333333,1,0,0.857142857,0,0,1020,40,project
playframework/play1,Python,22,1,0.199321195,29.55633803,1.007042254,1,0.055892663,0.937614679,0.329787234,0,567124,80,project
ReactiveMongo/ReactiveMongo,Scala,4,0,0.212455015,11.38613861,3.475247525,1,0,1,0.75862069,1,50332,50,project
enyojs/enyo-ilib,JavaScript,11,0,0.443635345,8.217391304,3.456521739,1,0,1,0.333333333,0,39730,70,project
palantir/tslint,TypeScript,37,0,0.150737483,34.45238095,0.023809524,1,0,0,0.225,0,77040,65,project
kalyan02/dayone,Python,1,0,0.133748056,0.219512195,0,1,0,1,0,0,3342,15,project
zygmuntz/phraug2,Python,1,0,0.08318264,1.5,0.111111111,1,0,0.928571429,0,0,1014,20,project
onsi/gomega,Go,35,1,0.092572659,5.833333333,2.011904762,1,0,0.997596154,0.5,1,23604,70,project
seratch/AWScala,Scala,9,1,0.062024675,6.142857143,1.285714286,1,0,0.976525822,1,0,11100,60,project
gluster/glusterfs-hadoop,Java,2,0,0.222033322,7.720930233,0.488372093,1,0.412941961,0.915422886,0,0,4576,50,project
stratosphere/stratosphere,Java,10,1,0.293984666,107.6428571,11.95238095,1,0.275971381,0.996309963,1,0,379760,80,project
JavaMoney/javamoney-lib,Java,4,1,0.373760364,4.658823529,0.364705882,1,0.373740505,0.9375,0,1,23112,50,project
stratosphere/stratosphere-tpch,Scala,2,0,0.432684509,10,8,1,0,1,0,0,2798,40,project
cache2k/cache2k-benchmark,Java,1,0,0.267017308,4.661764706,0.058823529,1,0.065291387,0.714285714,0,0,23970,50,project
krasserm/akka-persistence-cassandra,Scala,4,1,0.292144748,3.675,2.025,1,0,0.978571429,1,0,4812,50,project
jenkinsci/docker-plugin,Java,6,0,0.111155037,11.98734177,6.481012658,1,0.247785259,0.974903475,0,0,26980,70,project
cloudera/impala-tpcds-kit,Smarty,4,0,0.055699285,0.721518987,0.278481013,1,0,1,0,1,12410,10,project
conda/conda-recipes,Shell,10,0,0.191396588,56.28169014,8.563380282,1,0,0.920725883,0.75,0,383126,70,project
tomitribe/crest,Java,5,1,0.202016961,4.675324675,0.363636364,1,0.478463631,1,0,0,34816,70,project
gocql/gocql,Go,22,1,0.071701643,20.09473684,6.642105263,1,0,0.983776768,0.75,0,45650,70,project
MartyThornley/import-external-images,PHP,1,0,0.158088235,1,0.5,1,0,0.4,0,0,916,15,project
qxmpp-project/qxmpp,C++,2,0,0.26646661,18.72463768,0.985507246,1,0.247469902,0.973770492,0.25,1,67466,60,project
mk-fg/python-onedrive,Python,1,0,0.089008043,6,1.194444444,1,0,1,0,0,3398,40,project
whilp/envcrypt,Go,2,0,0.048913043,1.681818182,0.090909091,1,0,1,0,1,350,10,project
ulmo-dev/ulmo,HTML,2,1,0.007122045,13.33035714,1.008928571,1,0,0.993670886,0.214285714,1,765356,40,project
concourse/concourse,Go,23,0,0.009701173,300.8026316,9.539473684,1,0,0,0.397260274,0,660868,55,project
odewahn/dds-field-guide,HTML,5,0,0.042931937,24.0625,0.25,1,0,0.956521739,0,0,1828,50,project
apache/incubator-brooklyn,Java,11,0,0.237309337,236.4,0.218181818,1,0.362930548,0,0.038461538,1,792640,75,project
phacility/javelin,JavaScript,12,0,0.272351703,4.966101695,0.440677966,1,0,1,0,0,37340,60,project
metricube/pppd_pyhook,C,2,0,0.131067961,2.625,0.125,1,0,1,0,0,716,20,project
chrismattmann/tika-python,Python,11,1,0.346260388,6.253521127,2.873239437,1,0.192943771,0.995475113,0.25,0,2360,80,project
josephmisiti/awesome-machine-learning,Python,194,0,0.004294479,19.78082192,0.904109589,1,0,1,0,0,3246,50,project
OryxProject/oryx,Java,2,1,0.212350276,15.17808219,2.808219178,1,0.370802123,1,0,1,240282,50,project
ninenines/erlang.mk,Makefile,2,0,0.027548209,18.5862069,5.816091954,1,0,0.991438356,0,0,34594,30,project
BuildStuffConference/BuildStuff.Mobile,C#,3,0,0.236140351,14.5,0,1,0,0.944444444,0,0,4354,35,project
wimvanderbauwhede/gmcf,C++,2,0,0.171030874,4.2,0,1,0,1,0.076923077,0,79208,45,project
twigphp/Twig,PHP,3,1,0.253451429,41.73846154,0.3,1,0.352807416,0,0.553571429,0,41638,55,project
rust-lang/crates.io,Rust,13,1,0.042947395,82.86486486,12.64864865,1,0,0,0.949215893,0,121494,55,project
jupyter/nbviewer,Python,6,1,0.215315216,14.75268817,5.677419355,1,0.073448627,0.99742268,0.055555556,0,14264,80,project
apache/nifi,Java,36,0,0.205508818,87.01449275,3.927536232,1,0.316010505,0.445807771,0.214285714,1,1714450,75,project
jdbi/jdbi,Java,7,1,0.25181099,22.72727273,4.245989305,1,0.548511692,0.996632997,0,1,125594,70,project
apache/kylin,Java,21,1,0.205160144,111.88,0.373333333,1,0.17201147,0,0.022522523,1,636840,75,project
apickli/apickli,JavaScript,3,1,0.005422563,4.606557377,1.639344262,1,0,0.95,0.131426202,1,15040,40,project
nerdammer/spark-hbase-connector,Scala,1,1,0.025431034,3.4,1.771428571,1,0,0.909090909,0,0,4522,30,project
chef/ohai,Ruby,49,0,0.146624758,28.91489362,2.078014184,1,0.684801911,0.994350282,0.5,1,81994,80,project
apache/samza,Java,49,1,0.269946767,26.86904762,0.452380952,1,0.4452409,0.911832947,0.292857143,1,331066,80,project
pesho/docker-fdb,Shell,1,0,0.043165468,11,0,1,0,1,0,0,266,25,project
AODtorusan/celest,Scala,2,0,0.421208087,4.620689655,0,1,0,1,0,0,27826,35,project
HareDB/HareDBWebRESTful,Java,3,0,0.070358508,10.22222222,0.5,1,0.325605626,0.904761905,0.524590164,1,17996,60,project
kubernetes/kubernetes,Go,179,0,0.158605057,1254.613333,0,1,0,0,0.20544761,0,8585838,60,project
pymc-devs/pymc3,Python,19,1,0.673611469,44.14201183,0.810650888,1,0.04118535,0,0,1,88700,65,project
timtian/gulp-rev-easy,JavaScript,1,0,0.014669927,1.586206897,0.24137931,1,0,1,1,1,1612,20,project
falconry/falcon,Python,9,0,0.341290307,17.91397849,9.021505376,1,0.621433044,0.994175888,0,1,55686,70,project
scorelab/ANDROPHSY,HTML,3,0,0.16461313,1.214285714,0.107142857,1,0,0.666666667,0,0,1924454,20,project
dmlc/dmlc-core,C++,23,1,0.222373806,15.44615385,2.030769231,1,0.143373423,0.994635193,0,0,42180,70,project
dmlc/xgboost,C++,25,1,0.201371487,62.93670886,2.810126582,1,0.199530047,0,0.875,1,188668,75,project
jasimmk/watermarker,Python,2,1,0.211950395,0.775,0.175,1,0.067150635,0.933333333,0,0,1398,30,project
stylus/stylus,JavaScript,3,1,0.144890896,34.82758621,2.163793103,1,0,0.991485336,0.696269982,0,69676,50,project
stylus/stylus,JavaScript,3,1,0.144890896,34.82758621,2.163793103,1,0,0.991485336,0.696269982,0,69676,50,project
douban/paracel,C++,1,1,0.112524241,7.363636364,1.409090909,1,0.277966102,0.981818182,0.3,0,39356,60,project
cincheo/jsweet,Java,2,1,0.29294423,24.07936508,8.507936508,1,0.063734434,0.980263158,0,1,281148,50,project
zalando/spilo,Python,7,0,0.090489026,10.421875,2.375,1,0,0.99375975,0,1,9448,60,project
platanus/activeadmin_addons,Ruby,9,1,0.090915263,6.694444444,1.930555556,1,0.474284384,0.939393939,0.666666667,0,26778,80,project
gscrot/gscrot,Java,1,0,0.087994034,18.3125,0.0625,1,0,1,0,0,4892,40,project
hammerlab/spree,JavaScript,1,0,0.008389803,67,12.4,1,0,0.588235294,0,0,6146,30,project
lpgauth/shackle,Erlang,1,0,0.015091711,5.836065574,0.475409836,1,0,1,0,1,8484,30,project
apache/usergrid,Java,16,1,0.225434575,102.364486,5.775700935,1,0.27650622,0.980573543,0.000335796,0,853300,70,project
confluentinc/kafka-connect-jdbc,Java,20,0,0.170263894,29.578125,8.46875,1,0.477482395,0.915824916,0,0,37982,70,project
srvk/eesen,C++,7,0,0.22339038,6.446808511,3.29787234,1,0,0.983471074,0,0,136952,60,project
bioconda/bioconda-recipes,Shell,129,0,0.070386814,494.6779661,3.830508475,1,0,0,1,0,905354,65,project
cvogt/cbt,Scala,2,0,0.074376098,40.5,13.125,1,0,0.968688845,0,0,26334,40,project
keroserene/go-webrtc,Go,2,1,0.309839842,5.226415094,1.226415094,1,0,0.942857143,0,0,327158,40,project
dmlc/web-data,Jupyter Notebook,37,0,0.038914364,10.36206897,0.103448276,1,0,0.997979798,0,0,304322,50,project
